ID,ENTRYTYPE,author,bib-gs_bronze_gquerya,bib-scopus_bronze_querya,bib_id,booktitle,doi,isbn,issn,journal,note,number,pages,publisher,shorttitle,title,url,volume,year
fu_fedfsa_2024,article,"Fu, Sunyang and Jia, Heling and Vassilaki, Maria and Keloth, Vipina K and Dang, Yifang and Zhou, Yujia and Garg, Muskan and Petersen, Ronald C and St Sauver, Jennifer and Moon, Sungrim Fu, S. and Jia, H. and Vassilaki, M. and Keloth, V.K. and Dang, Y. and Zhou, Y. and Garg, M. and Petersen, R.C. and St Sauver, J. and Moon, S. and Wang, L. and Wen, A. and Li, F. and Xu, H. and Tao, C. and Fan, J. and Liu, H. and Sohn, S.",1,1,nan,nan,nan 10.1016/j.jbi.2024.104623,nan,1532-0464 nan,Journal of Biomedical Informatics,Publisher: Elsevier nan,nan,104623 nan,nan,nan,{FedFSA}: {Hybrid} and federated framework for functional status ascertainment across institutions,nan https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187660555&doi=10.1016%2fj.jbi.2024.104623&partnerID=40&md5=fb15c0b9960b0ab2b0d75f41d138cd64,152,2024.0
gabriel_how_2023,article,"Gabriel, R.A. and Mariano, E.R. and McAuley, J. and Wu, C.L.",0,1,nan,nan,10.1136/rapm-2023-104637,nan,nan,Regional Anesthesia and Pain Medicine,nan,11,575--577,nan,nan,How large language models can augment perioperative medicine: {A} daring discourse,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164504512&doi=10.1136%2frapm-2023-104637&partnerID=40&md5=2db8d4575923eb36e448de933f83069c,48,2023.0
gao_drbench_2023,article,"Gao, Y. and Dligach, D. and Miller, T. and Caskey, J. and Sharma, B. and Churpek, M.M. and Afshar, M.",0,1,nan,nan,10.1016/j.jbi.2023.104286,nan,nan,Journal of Biomedical Informatics,nan,nan,nan,nan,nan,{DR}.{BENCH}: {Diagnostic} {Reasoning} {Benchmark} for {Clinical} {Natural} {Language} {Processing},https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148773089&doi=10.1016%2fj.jbi.2023.104286&partnerID=40&md5=9f246a38ab486115cc5e07eb00704bdb,138,2023.0
gao_improving_2024,article,"Gao, Z. and Liu, X. and Kang, Y. and Hu, P. and Zhang, X. and Yan, W. and Yan, M. and Yu, P. and Zhang, Q. and Xiao, W. and Zhang, Z.",0,1,nan,nan,10.2196/54363,nan,nan,Journal of Medical Internet Research,nan,nan,nan,nan,nan,Improving the {Prognostic} {Evaluation} {Precision} of {Hospital} {Outcomes} for {Heart} {Failure} {Using} {Admission} {Notes} and {Clinical} {Tabular} {Data}: {Multimodal} {Deep} {Learning} {Model},https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192047490&doi=10.2196%2f54363&partnerID=40&md5=b1c668f7a0f84ef88228d620da7ba97f,26,2024.0
gao_summarizing_2022,inproceedings,"Gao, Y. and Dligach, D. and Miller, T. and Xu, D. and Churpek, M.M. and Afshar, M.",0,1,nan,nan,nan,nan,nan,nan,Issue: 1,nan,2979--2991,nan,nan,Summarizing {Patients}’ {Problems} from {Hospital} {Progress} {Notes} {Using} {Pre}-trained {Sequence}-to-{Sequence} {Models},https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160196098&partnerID=40&md5=860e2c413e622990f3e18ee8d5114b26,29,2022.0
garcia-barragan_gpt_2024,article,"García-Barragán, Á. and González Calatayud, A. and Solarte-Pabón, O. and Provencio, M. and Menasalvas, E. and Robles, V.",0,1,nan,nan,10.1007/s11042-024-19209-5,nan,nan,Multimedia Tools and Applications,nan,nan,nan,nan,nan,{GPT} for medical entity recognition in {Spanish},https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191098262&doi=10.1007%2fs11042-024-19209-5&partnerID=40&md5=ff4502258e8daa8f5a2cea6983c77e61,nan,2024.0
gautam_discourse-aware_2024,article,"Gautam, Akash Kumar and Lange, Lukas and Strötgen, Jannik",1,0,nan,nan,nan,nan,nan,arXiv preprint arXiv:2404.07775,nan,nan,nan,nan,nan,Discourse-{Aware} {In}-{Context} {Learning} for {Temporal} {Expression} {Normalization},nan,nan,2024.0
gayathri_hegde_comparative_2023,inproceedings,"Gayathri Hegde, M. and Shenoy, P.D. and Venugopal, K.R.",0,1,nan,nan,10.1109/TEMSCON-ASPAC59527.2023.10531360,nan,nan,nan,nan,nan,nan,nan,nan,A {Comparative} {Study} of {Neural} {Network} and {Machine} {Learning} on {Privacy} {Preserving} {Federated} {Learning} for {Healthcare} {Applications},https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195150201&doi=10.1109%2fTEMSCON-ASPAC59527.2023.10531360&partnerID=40&md5=02452c69422317615e24f488d1cdcae6,nan,2023.0
gayathri_hegde_preserving_2023,inproceedings,"Gayathri Hegde, M. and Shrishti Bekal, M. and Shenoy, P.D. and Venugopal, K.R.",0,1,nan,nan,10.1109/R10-HTC57504.2023.10461823,nan,nan,nan,nan,nan,853--859,nan,nan,Preserving {Privacy} and {Security} of {Electronic} {Health} {Records} using {Blockchain}-based {Federated} {Learning} ({BFL}) {Framework},https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189544870&doi=10.1109%2fR10-HTC57504.2023.10461823&partnerID=40&md5=1c21b1695c6742737ed2bfeb152fa508,nan,2023.0
ge_predicting_2019,article,"Ge, Y. and Wang, Q. and Wang, L. and Wu, H. and Peng, C. and Wang, J. and Xu, Y. and Xiong, G. and Zhang, Y. and Yi, Y.",0,1,nan,nan,10.1016/j.ijmedinf.2019.103986,nan,nan,International Journal of Medical Informatics,nan,nan,nan,nan,nan,Predicting post-stroke pneumonia using deep neural network approaches,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073188047&doi=10.1016%2fj.ijmedinf.2019.103986&partnerID=40&md5=c8dcf5a500adfb55dc24487924b72e87,132,2019.0
gebreab_llm-based_2024,inproceedings,"Gebreab, S.A. and Salah, K. and Jayaraman, R. and Rehman, M.H.U. and Ellaham, S.",0,1,nan,nan,10.1109/ISDFS60797.2024.10527275,nan,nan,nan,nan,nan,nan,nan,nan,{LLM}-{Based} {Framework} for {Administrative} {Task} {Automation} in {Healthcare},https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194061609&doi=10.1109%2fISDFS60797.2024.10527275&partnerID=40&md5=c1ec3ed105418492b105cd5af7fb5202,nan,2024.0
ghanadian_socially_2024,article,"Ghanadian, Hamideh and Nejadgholi, Isar and Al Osman, Hussein",1,0,nan,nan,nan,nan,2169-3536,IEEE Access,Publisher: IEEE,nan,nan,nan,nan,Socially {Aware} {Synthetic} {Data} {Generation} for {Suicidal} {Ideation} {Detection} {Using} {Large} {Language} {Models},nan,nan,2024.0
ghosh_alpapico_2024,article,"Ghosh, Madhusudan and Mukherjee, Shrimon and Ganguly, Asmit and Basuchowdhuri, Partha and Naskar, Sudip Kumar and Ganguly, Debasis",1,0,nan,nan,nan,nan,1046-2023,Methods,Publisher: Elsevier,nan,78--88,nan,nan,{AlpaPICO}: {Extraction} of {PICO} frames from clinical trial documents using {LLMs},nan,226,2024.0
ghosh_propensity_2021,article,"Ghosh, S. and Boucher, C. and Bian, J. and Prosperi, M.",0,1,nan,nan,10.1016/j.cmpbup.2021.100020,nan,nan,Computer Methods and Programs in Biomedicine Update,nan,nan,nan,nan,nan,Propensity score synthetic augmentation matching using generative adversarial networks ({PSSAM}-{GAN}),https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121199050&doi=10.1016%2fj.cmpbup.2021.100020&partnerID=40&md5=ae21db43bd2d4369ecbadcc58176881b,1,2021.0
giarnieri_towards_2023,article,"Giarnieri, Enrico and Scardapane, Simone",1,0,nan,nan,nan,nan,2227-9059,Biomedicines,Publisher: MDPI,8,2225,nan,nan,Towards artificial intelligence applications in next generation cytopathology,nan,11,2023.0
giavina-bianchi_open_2024,article,"Giavina-Bianchi, Mara and Veronese, Federica and Maggiore, Azienda Ospedaliero Universitaria and Omiye, Jesutofunmi A and Omiye, JA and Gui, H and Daneshjou, R and Cai, ZR and Omiye¹, Jesutofunmi A and Gui¹t, Haiwen",1,0,nan,nan,nan,nan,283254911X,Artificial Intelligence in Cutaneous Lesions: Where do we Stand and What is Next?,Publisher: Frontiers Media SA,nan,40,nan,nan,{OPEN} {ACCESS} {EDITED} {BY},nan,8,2024.0
gligorijevic_optimizing_2019,article,"Gligorijevic, J. and Gligorijevic, D. and Pavlovski, M. and Milkovits, E. and Glass, L. and Grier, K. and Vankireddy, P. and Obradovic, Z.",0,1,nan,nan,10.1093/jamia/ocz064,nan,nan,Journal of the American Medical Informatics Association,nan,11,1195--1202,nan,nan,Optimizing clinical trials recruitment via deep learning,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073183902&doi=10.1093%2fjamia%2focz064&partnerID=40&md5=b2833da35cf6d3b1880e67a1ad2b098c,26,2019.0
grundmann_data_2024,inproceedings,"Grundmann, Paul and Papaioannou, Jens-Michalis and Oberhauser, Tom and Steffek, Thomas and Siu, Amy and Nejdl, Wolfgang and Löser, Alexander",1,0,nan,nan,nan,nan,nan,nan,nan,nan,4381--4391,nan,nan,Data {Drift} in {Clinical} {Outcome} {Prediction} from {Admission} {Notes},nan,nan,2024.0
gu_natural_2022,article,"Gu, Yang",1,0,nan,nan,nan,nan,9798841727316,nan,Publisher: The University of Arizona,nan,nan,nan,nan,Natural {Language} {Processing} for {Complex} {Tasks}: {Challenges} and {Solutions} for {Small} {Datasets} in the {Era} of {Deep} {Learning},nan,nan,2022.0
guevara_large_2024,article,"Guevara, Marco and Chen, Shan and Thomas, Spencer and Chaunzwa, Tafadzwa L and Franco, Idalid and Kann, Benjamin H and Moningi, Shalini and Qian, Jack M and Goldstein, Madeleine and Harper, Susan Guevara, M. and Chen, S. and Thomas, S. and Chaunzwa, T.L. and Franco, I. and Kann, B.H. and Moningi, S. and Qian, J.M. and Goldstein, M. and Harper, S. and Aerts, H.J.W.L. and Catalano, P.J. and Savova, G.K. and Mak, R.H. and Bitterman, D.S.",1,1,nan,nan,nan 10.1038/s41746-023-00970-0,nan,2398-6352 nan,NPJ digital medicine npj Digital Medicine,Publisher: Nature Publishing Group UK London nan,1,6 nan,nan,nan,Large language models to identify social determinants of health in electronic health records,nan https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181889002&doi=10.1038%2fs41746-023-00970-0&partnerID=40&md5=9da9bacf0c14754c0c06353e98e7a31b,7,2024.0
gui_looking_2022,article,"Gui, H. and Tseng, B. and Hu, W. and Wang, S.Y.",0,1,nan,nan,10.1016/j.ijmedinf.2021.104678,nan,nan,International Journal of Medical Informatics,nan,nan,nan,nan,nan,Looking for low vision: {Predicting} visual prognosis by fusing structured and free-text data from electronic health records,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122245006&doi=10.1016%2fj.ijmedinf.2021.104678&partnerID=40&md5=d331118d56226f0418f4d7bcb7748ccc,159,2022.0
gui_promises_2024,article,"Gui, Haiwen and Omiye, Jesutofunmi A and Chang, Crystal T and Daneshjou, Roxana",1,0,nan,nan,nan,nan,0022-202X,Journal of Investigative Dermatology,Publisher: Elsevier,nan,nan,nan,nan,The {Promises} and {Perils} of {Foundation} {Models} in {Dermatology},nan,nan,2024.0
guo_application_2021,article,"Guo, A. and Smith, S. and Khan, Y.M. and Langabeer, J.R. and Foraker, R.E.",0,1,nan,nan,10.1371/journal.pone.0239007,nan,nan,PLoS ONE,nan,9 September,nan,nan,nan,Application of a time-series deep learning model to predict cardiac dysrhythmias in electronic health records,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114818844&doi=10.1371%2fjournal.pone.0239007&partnerID=40&md5=31569d2687556ced8b72790f7cc454c0,16,2021.0
guo_generative_2024,article,"Guo, Xu and Chen, Yiqiang",1,0,nan,nan,nan,nan,nan,arXiv preprint arXiv:2403.04190,nan,nan,nan,nan,nan,"Generative {AI} for {Synthetic} {Data} {Generation}: {Methods}, {Challenges} and the {Future}",nan,nan,2024.0
guo_use_2020,article,"Guo, A. and Foraker, R.E. and MacGregor, R.M. and Masood, F.M. and Cupps, B.P. and Pasque, M.K.",0,1,nan,nan,10.3389/fdgth.2020.576945,nan,nan,Frontiers in Digital Health,nan,nan,nan,nan,nan,The {Use} of {Synthetic} {Electronic} {Health} {Record} {Data} and {Deep} {Learning} to {Improve} {Timing} of {High}-{Risk} {Heart} {Failure} {Surgical} {Intervention} by {Predicting} {Proximity} to {Catastrophic} {Decompensation},https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104321435&doi=10.3389%2ffdgth.2020.576945&partnerID=40&md5=eb1c27bd985d38c4cf0361fdb6b3037d,2,2020.0
guo_using_2021,article,"Guo, A. and Foraker, R. and White, P. and Chivers, C. and Courtright, K. and Moore, N.",0,1,nan,nan,10.37765/AJMC.2021.88578,nan,nan,American Journal of Managed Care,nan,1,E7--E15,nan,nan,Using electronic health records and claims data to identify high-risk patients likely to benefit from palliative care,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100229940&doi=10.37765%2fAJMC.2021.88578&partnerID=40&md5=b0201dd5a20503434968ac883f66dd7b,27,2021.0
guoa_generative_2023,article,"Guoa, Xu and Chenb, Yiqiang",1,0,nan,nan,nan,nan,nan,International Journal of Information Technology,nan,1,nan,nan,nan,"Generative {LLMs} for {Synthetic} {Data} {Generation}: {Methods}, {Challenges} and the {Future}",nan,29,2023.0
gururangan_dont_2020,inproceedings,"Gururangan, S. and Marasovic, A. and Swayamdipta, S. and Lo, K. and Beltagy, I. and Downey, D. and Smith, N.A.",0,1,nan,nan,nan,nan,nan,nan,nan,nan,8342--8360,nan,nan,Don't stop pretraining: {Adapt} language models to domains and tasks,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117904928&partnerID=40&md5=ccdf06dae77af2f52f7bf674231bd18c,nan,2020.0
gwon_ldp-gan_2024,article,"Gwon, H. and Ahn, I. and Kim, Y. and Kang, H.J. and Seo, H. and Choi, H. and Cho, H.N. and Kim, M. and Han, J. and Kee, G. and Park, S. and Lee, K.H. and Jun, T.J. and Kim, Y.-H.",0,1,nan,nan,10.1016/j.compbiomed.2023.107738,nan,nan,Computers in Biology and Medicine,nan,nan,nan,nan,nan,{LDP}-{GAN} : {Generative} adversarial networks with local differential privacy for patient medical records synthesis,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177865569&doi=10.1016%2fj.compbiomed.2023.107738&partnerID=40&md5=664f6d50c4120fba5830dd0441196b18,168,2024.0
habchi_machine_2024,article,"Habchi, Yassine and Kheddar, Hamza and Himeur, Yassine and Boukabou, Abdelkrim and Chouchane, Ammar and Ouamane, Abdelmalik and Atalla, Shadi and Mansoor, Wathiq",1,0,nan,nan,nan,nan,nan,arXiv preprint arXiv:2403.13843,nan,nan,nan,nan,nan,Machine learning and vision transformers for thyroid carcinoma diagnosis: {A} review,nan,nan,2024.0
hadjiiski_aapm_2023,article,"Hadjiiski, L. and Cha, K. and Chan, H.-P. and Drukker, K. and Morra, L. and Näppi, J.J. and Sahiner, B. and Yoshida, H. and Chen, Q. and Deserno, T.M. and Greenspan, H. and Huisman, H. and Huo, Z. and Mazurchuk, R. and Petrick, N. and Regge, D. and Samala, R. and Summers, R.M. and Suzuki, K. and Tourassi, G. and Vergara, D. and Armato, S.G.",0,1,nan,nan,10.1002/mp.16188,nan,nan,Medical Physics,nan,2,e1--e24,nan,nan,{AAPM} task group report 273: {Recommendations} on best practices for {AI} and machine learning for computer-aided diagnosis in medical imaging,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146090183&doi=10.1002%2fmp.16188&partnerID=40&md5=bb5ca70688f3a2917c6e10e2d67f31e3,50,2023.0
hager_evaluating_2024,article,"Hager, Paul and Jungmann, Friederike and Bhagat, Kunal and Hubrecht, Inga and Knauer, Manuel and Vielhauer, Jakob and Holland, Robert and Braren, Rickmer and Makowski, Marcus and Kaisis, Georgios",1,0,nan,nan,nan,nan,nan,medRxiv,Publisher: Cold Spring Harbor Laboratory Press,nan,2024--01,nan,nan,Evaluating and {Mitigating} {Limitations} of {Large} {Language} {Models} in {Clinical} {Decision} {Making},nan,nan,2024.0
hai_bvflemr_2022,article,"Hai, T. and Zhou, J. and Srividhya, S.R. and Jain, S.K. and Young, P. and Agrawal, S.",0,1,nan,nan,10.1186/s13677-022-00294-6,nan,nan,Journal of Cloud Computing,nan,1,nan,nan,nan,{BVFLEMR}: an integrated federated learning and blockchain technology for cloud-based medical records recommendation system,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135151803&doi=10.1186%2fs13677-022-00294-6&partnerID=40&md5=43f63d70e8c2627f7ff8d324fb178e52,11,2022.0
hao_privacy-aware_2020,inproceedings,"Hao, M. and Li, H. and Xu, G. and Liu, Z. and Chen, Z.",0,1,nan,nan,10.1109/ICC40277.2020.9148979,nan,nan,nan,nan,nan,nan,nan,nan,Privacy-aware and {Resource}-saving {Collaborative} {Learning} for {Healthcare} in {Cloud} {Computing},https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089426438&doi=10.1109%2fICC40277.2020.9148979&partnerID=40&md5=5f02fe0ea39a6827f03df35d96205469,2020-June,2020.0
haque_investigating_2024,article,"Haque, Farah Binta and Yasin, MD and Saha, Shishir and Hossain, MD",1,0,nan,nan,nan,nan,nan,nan,Publisher: Brac University,nan,nan,nan,nan,Investigating the use of deep learning for textual entailment in {BRACU}-{NLI} dataset,nan,nan,2024.0
hayawi_ai_2024,article,"Hayawi, Kadhim and Shahriar, Sakib",1,0,nan,nan,nan,nan,nan,nan,Publisher: Preprints,nan,nan,nan,nan,"{AI} {Agents} from {Copilots} to {Coworkers}: {Historical} {Context}, {Challenges}, {Limitations}, {Implications}, and {Practical} {Guidelines}",nan,nan,2024.0
he_early_2020,article,"He, Z. and Du, L. and Zhang, P. and Zhao, R. and Chen, X. and Fang, Z.",0,1,nan,nan,10.1097/CCM.0000000000004644,nan,nan,Critical Care Medicine,nan,12,E1337--E1342,nan,nan,Early {Sepsis} {Prediction} {Using} {Ensemble} {Learning} {With} {Deep} {Features} and {Artificial} {Features} {Extracted} {From} {Clinical} {Electronic} {Health} {Records},https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097003859&doi=10.1097%2fCCM.0000000000004644&partnerID=40&md5=b786739635d80d2c8fac39cc98295a5b,48,2020.0
he_foundation_2024,article,"He, Yuting and Huang, Fuxiang and Jiang, Xinrui and Nie, Yuxiang and Wang, Minghao and Wang, Jiguang and Chen, Hao",1,0,nan,nan,nan,nan,nan,arXiv preprint arXiv:2404.03264,nan,nan,nan,nan,nan,"Foundation model for advancing healthcare: {Challenges}, opportunities, and future directions",nan,nan,2024.0
he_quality_2024,article,"He, Z. and Bhasuran, B. and Jin, Q. and Tian, S. and Hanna, K. and Shavor, C. and Arguello, L.G. and Murray, P. and Lu, Z.",0,1,nan,nan,10.2196/56655,nan,nan,Journal of Medical Internet Research,nan,1,nan,nan,nan,Quality of {Answers} of {Generative} {Large} {Language} {Models} {Versus} {Peer} {Users} for {Interpreting} {Laboratory} {Test} {Results} for {Lay} {Patients}: {Evaluation} {Study},https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190903860&doi=10.2196%2f56655&partnerID=40&md5=9c881f6e5332fef0799c9f9e46b2f9fb,26,2024.0
henderson_pile_2022,article,"Henderson, Peter and Krass, Mark and Zheng, Lucia and Guha, Neel and Manning, Christopher D and Jurafsky, Dan and Ho, Daniel",1,0,nan,nan,nan,nan,nan,Advances in Neural Information Processing Systems,nan,nan,29217--29234,nan,nan,Pile of law: {Learning} responsible data filtering from the law and a 256gb open-source legal dataset,nan,35,2022.0
hermawan_cyber_2022,article,"Hermawan, D. and Kansa Putri, N.M.D. and Kartanto, L.",0,1,nan,nan,10.17762/ijcnis.v14i2.5513,nan,nan,International Journal of Communication Networks and Information Security,nan,2,222--233,nan,nan,Cyber {Physical} {System} {Based} {Smart} {Healthcare} {System} with {Federated} {Deep} {Learning} {Architectures} with {Data} {Analytics},https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142415068&doi=10.17762%2fijcnis.v14i2.5513&partnerID=40&md5=9b82fd73a2b58a1244e6c27e2858b06f,14,2022.0
hernandez-boussard_leveraging_2020,article,"Hernandez-Boussard, T. and Blayney, D.W. and Brooks, J.D.",0,1,nan,nan,10.1158/1055-9965.EPI-19-0873,nan,nan,Cancer Epidemiology Biomarkers and Prevention,nan,4,816--822,nan,nan,Leveraging digital data to inform and improve quality cancer care,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082841544&doi=10.1158%2f1055-9965.EPI-19-0873&partnerID=40&md5=58a8b3a090f3ba12fe560fe4d3bd4b2d,29,2020.0
hernandez_leveraging_2024,article,"Hernandez, Miguel",1,0,nan,nan,nan,nan,2349-1671,Journal of Machine Learning in Pharmaceutical Research,nan,1,72--83,nan,nan,"Leveraging {Deep} {Learning}-{Based} {Natural} {Language} {Processing} for {Enhanced} {Electronic} {Health} {Records}: {Utilizes} deep learning techniques for natural language processing of electronic health records, extracting valuable clinical information for research and healthcare decision-making",nan,4,2024.0
hong_cantonmt_2024,article,"Hong, Kung Yin and Han, Lifeng and Batista-Navarro, Riza and Nenadic, Goran",1,0,nan,nan,nan,nan,nan,arXiv preprint arXiv:2405.08172,nan,nan,nan,nan,nan,{CANTONMT}: {Investigating} {Back}-{Translation} and {Model}-{Switch} {Mechanisms} for {Cantonese}-{English} {Neural} {Machine} {Translation},nan,nan,2024.0
hosseini_leveraging_2024,article,"Hosseini, M. and Hosseini, M. and Javidan, R.",0,1,nan,nan,10.1007/s10916-024-02049-z,nan,nan,Journal of Medical Systems,nan,1,nan,nan,nan,Leveraging {Large} {Language} {Models} for {Clinical} {Abbreviation} {Disambiguation},https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186138132&doi=10.1007%2fs10916-024-02049-z&partnerID=40&md5=4230e14b9eb1643a045d02c4d25a9187,48,2024.0
hu_advancing_2024,article,"Hu, Mingzhe and Qian, Joshua and Pan, Shaoyan and Li, Yuheng and Qiu, Richard LJ and Yang, Xiaofeng",1,0,nan,nan,nan,nan,0031-9155,Physics in Medicine \& Biology,Publisher: IOP Publishing,10,10TR01,nan,nan,Advancing medical imaging with language models: featuring a spotlight on {ChatGPT},nan,69,2024.0
hu_predicting_2022,article,"Hu, W. and Wang, S.Y.",0,1,nan,nan,10.1167/tvst.11.3.37,nan,nan,Translational Vision Science and Technology,nan,3,nan,nan,nan,Predicting {Glaucoma} {Progression} {Requiring} {Surgery} {Using} {Clinical} {Free}-{Text} {Notes} and {Transfer} {Learning} {With} {Transformers},https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127262664&doi=10.1167%2ftvst.11.3.37&partnerID=40&md5=ea6b2f3bd91b5a43a51a2d8e1d5f9070,11,2022.0
huang_explainable_2024,article,"Huang, Guangming and Li, Yingya and Jameel, Shoaib and Long, Yunfei and Papanastasiou, Giorgos",1,0,nan,nan,nan,nan,2001-0370,Computational and Structural Biotechnology Journal,Publisher: Elsevier,nan,nan,nan,nan,From explainable to interpretable deep learning for natural language processing in healthcare: {How} far from reality?,nan,nan,2024.0
hussain_natural_2021,article,"Hussain, S.-A. and Sezgin, E. and Krivchenia, K. and Luna, J. and Rust, S. and Huang, Y.",0,1,nan,nan,10.1093/jamiaopen/ooab084,nan,nan,JAMIA Open,nan,3,nan,nan,nan,A natural language processing pipeline to synthesize patient-generated notes toward improving remote care and chronic disease management: {A} cystic fibrosis case study,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126299697&doi=10.1093%2fjamiaopen%2fooab084&partnerID=40&md5=a24f5068a3128f2c9299cfac75e32384,4,2021.0
ignat_has_2024,inproceedings,"Ignat, Oana and Jin, Zhijing and Abzaliev, Artem and Biester, Laura and Castro, Santiago and Deng, Naihao and Gao, Xinyi and Gunal, Aylin Ece and He, Jacky and Kazemi, Ashkan",1,0,nan,nan,nan,nan,nan,nan,nan,nan,8050--8094,nan,nan,Has {It} {All} {Been} {Solved}? {Open} {NLP} {Research} {Questions} {Not} {Solved} by {Large} {Language} {Models},nan,nan,2024.0
islam_development_2020,article,"Islam, M. and Yang, H.-C. and Poly, T.N. and Jack Li, Y.-C.",0,1,nan,nan,10.2196/24163,nan,nan,JMIR Medical Informatics,nan,11,nan,nan,nan,Development of an artificial intelligence–based automated recommendation system for clinical laboratory tests: {Retrospective} analysis of the national health insurance database,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097466229&doi=10.2196%2f24163&partnerID=40&md5=73be136b1bf9e8914ac9711a1ab19730,8,2020.0
issa_call_2023,article,"Issa, C.J. and Reimer-Taschenbrecker, A. and Paller, A.S.",0,1,nan,nan,10.1111/pde.15298,nan,nan,Pediatric Dermatology,nan,3,584--586,nan,nan,A call for implementing augmented intelligence in pediatric dermatology,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150860809&doi=10.1111%2fpde.15298&partnerID=40&md5=9d57a611982de8acf7f33ccfb3eeaf10,40,2023.0
janjirala_text_2024,article,"Janjirala, Saiteja",1,0,nan,nan,nan,nan,nan,nan,"Publisher: CALIFORNIA STATE UNIVERSITY, NORTHRIDGE",nan,nan,nan,nan,{TEXT} {SUMMARIZATION} {OF} {CLINICAL} {DISCHARGE} {SUMMARIES} {USING} {NLP} {AND} {DEEP} {LEARNING},nan,nan,2024.0
ji_research_2020,article,"Ji, B. and Li, S. and Yu, J. and Ma, J. and Tang, J. and Wu, Q. and Tan, Y. and Liu, H. and Ji, Y.",0,1,nan,nan,10.1016/j.jbi.2020.103395,nan,nan,Journal of Biomedical Informatics,nan,nan,nan,nan,nan,Research on {Chinese} medical named entity recognition based on collaborative cooperation of multiple neural network models,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081138953&doi=10.1016%2fj.jbi.2020.103395&partnerID=40&md5=6e9a3d461f55a5d7f822c1d91af39012,104,2020.0
jiang_learning_2023,article,"Jiang, Z. and Cai, X. and Yang, L. and Gao, D. and Zhao, W. and Han, J. and Liu, J. and Shen, D. and Liu, T.",0,1,nan,nan,10.1109/TBME.2023.3280987,nan,nan,IEEE Transactions on Biomedical Engineering,nan,12,3277--3287,nan,nan,Learning to {Summarize} {Chinese} {Radiology} {Findings} with a {Pre}-{Trained} {Encoder},https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162732532&doi=10.1109%2fTBME.2023.3280987&partnerID=40&md5=fd93cfc4905ab56f5508eb31eac30a8c,70,2023.0
johansson_exploring_2024,article,"Johansson, Pica and Bright, Jonathan and Krishna, Shyam and Fischer, Claudia and Leslie, David",1,0,nan,nan,nan,nan,nan,arXiv preprint arXiv:2402.04910,nan,nan,nan,nan,nan,Exploring responsible applications of {Synthetic} {Data} to advance {Online} {Safety} {Research} and {Development},nan,nan,2024.0
joshi_federated_2022,article,"Joshi, M. and Pal, A. and Sankarasubbu, M.",0,1,nan,nan,10.1145/3533708,nan,nan,ACM Transactions on Computing for Healthcare,nan,4,nan,nan,nan,"Federated {Learning} for {Healthcare} {Domain} - {Pipeline}, {Applications} and {Challenges}",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138320507&doi=10.1145%2f3533708&partnerID=40&md5=fa2e95399e129f9040a2fb8daa8735f7,3,2022.0
kamineni_advancements_2024,article,"Kamineni, Shasank and Tummala, Meghana and Kandimalla, Sai Yasheswini and Koduru, Tejodbhav and Manikandan, VM",1,0,nan,nan,nan,nan,3111398544,"Digital Transformation in Healthcare 5.0: Volume 2: Metaverse, Nanorobots and Machine Learning",Publisher: Walter de Gruyter GmbH \& Co KG,nan,317,nan,nan,Advancements and challenges of using natural language processing in the healthcare sector,nan,1,2024.0
